reach_id,strahler_ord,Z_u_m,Z_d_m,H_gross_m,A_u_km2,A_d_km2,length_m,slope_pct,mid_lon,mid_lat,is_ror,is_microhydro,hydro_method,Q_mean_m3s,Q40_m3s,Q65_m3s,Q80_m3s,Q90_m3s,Q_jan_m3s,Q_feb_m3s,Q_mar_m3s,Q_apr_m3s,Q_may_m3s,Q_jun_m3s,Q_jul_m3s,Q_aug_m3s,Q_sep_m3s,Q_oct_m3s,Q_nov_m3s,Q_dec_m3s,Q_env_m3s,Q_design_m3s,Q_net_m3s,eta,scale_type,H_net_m,P_inst_kW,annual_energy_MWh,dry_energy_MWh,wet_energy_MWh,E_jan_MWh,E_feb_MWh,E_mar_MWh,E_apr_MWh,E_may_MWh,E_jun_MWh,E_jul_MWh,E_aug_MWh,E_sep_MWh,E_oct_MWh,E_nov_MWh,E_dec_MWh,palika,is_border_river,apportion_factor,capacity_class,cultural_excluded,slope_viable,screened_viable
1623,1,2270.0,2143.2,126.7,0.63,1.85,536.0,23.64,83.089167,28.238056,0,1,WECS_NEA_MIP,0.0735,0.0497,0.0256,0.0148,0.0107,0.0162,0.0147,0.0162,0.0221,0.0405,0.1287,0.2501,0.2685,0.1545,0.0699,0.0309,0.0191,0.0015,0.0256,0.0241,0.65,Micro/Mini Hydro (<1 MW),114.0,17.52,138.23,56.49,81.73,7.95,6.45,7.95,10.78,13.85,13.4,13.85,13.85,13.4,13.85,13.4,9.52,Malika,0,1.0,Micro (5-100 kW),0,1,1
1823,1,2212.5,2143.2,69.2,0.59,1.85,328.5,21.07,83.088056,28.240556,0,1,WECS_NEA_MIP,0.0735,0.0497,0.0256,0.0148,0.0107,0.0162,0.0147,0.0162,0.0221,0.0405,0.1287,0.2501,0.2685,0.1545,0.0699,0.0309,0.0191,0.0015,0.0256,0.0241,0.65,Micro/Mini Hydro (<1 MW),62.3,9.57,75.54,30.87,44.67,4.34,3.52,4.34,5.89,7.57,7.32,7.57,7.57,7.32,7.57,7.32,5.2,Malika,0,1.0,Micro (5-100 kW),0,1,1
1855,1,2206.5,2106.5,100.1,0.52,0.89,505.4,19.81,83.098889,28.250556,0,1,WECS_NEA_MIP,0.0359,0.0241,0.0122,0.007,0.005,0.0079,0.0072,0.0079,0.0108,0.0197,0.0628,0.1221,0.1311,0.0754,0.0341,0.0151,0.0093,0.0007,0.0122,0.0115,0.65,Micro/Mini Hydro (<1 MW),90.1,6.61,52.52,21.73,30.78,3.08,2.51,3.08,4.18,5.21,5.05,5.21,5.21,5.05,5.21,5.05,3.68,Malika,0,1.0,Micro (5-100 kW),0,1,1
1856,1,2106.5,2038.2,68.3,0.89,1.24,561.2,12.16,83.103611,28.249722,0,1,WECS_NEA_MIP,0.0497,0.0334,0.0171,0.0098,0.0071,0.0109,0.0099,0.0109,0.0149,0.0273,0.087,0.169,0.1814,0.1044,0.0472,0.0209,0.0129,0.001,0.0171,0.0161,0.65,Micro/Mini Hydro (<1 MW),61.5,6.31,49.96,20.51,29.45,2.89,2.35,2.89,3.92,4.99,4.83,4.99,4.99,4.83,4.99,4.83,3.47,Malika,0,1.0,Micro (5-100 kW),0,1,1
1857,1,2038.2,1801.9,236.3,1.24,1.48,597.8,39.52,83.106667,28.246667,0,1,WECS_NEA_MIP,0.0591,0.0398,0.0204,0.0118,0.0085,0.013,0.0118,0.013,0.0177,0.0325,0.1034,0.2009,0.2157,0.1241,0.0561,0.0248,0.0154,0.0012,0.0204,0.0192,0.65,Micro/Mini Hydro (<1 MW),212.7,26.04,206.02,84.5,121.52,11.91,9.66,11.91,16.11,20.59,19.92,20.59,20.59,19.92,20.59,19.92,14.33,Malika,0,1.0,Micro (5-100 kW),0,1,1
1858,1,1801.9,1728.9,73.0,1.48,5.79,195.8,37.29,83.1075,28.243611,0,1,WECS_NEA_MIP,0.225,0.1538,0.081,0.048,0.0352,0.0495,0.045,0.0495,0.0675,0.1237,0.3937,0.765,0.8212,0.4725,0.2137,0.0945,0.0585,0.0045,0.081,0.0765,0.65,Micro/Mini Hydro (<1 MW),65.7,32.05,249.57,100.53,149.04,14.03,11.4,14.03,19.0,25.25,24.43,25.25,25.25,24.43,25.25,24.43,16.83,Malika,0,1.0,Micro (5-100 kW),0,1,1
2069,2,2143.2,2016.2,127.0,1.85,2.3,561.2,22.63,83.091944,28.241944,0,1,WECS_NEA_MIP,0.091,0.0616,0.0319,0.0185,0.0135,0.02,0.0182,0.02,0.0273,0.0501,0.1593,0.3095,0.3323,0.1912,0.0865,0.0382,0.0237,0.0018,0.0319,0.0301,0.65,Micro/Mini Hydro (<1 MW),114.3,21.94,172.44,70.32,102.11,9.87,8.03,9.87,13.38,17.3,16.74,17.3,17.3,16.74,17.3,16.74,11.88,Malika,0,1.0,Micro (5-100 kW),0,1,1
2070,2,2016.2,1882.4,133.8,2.3,3.11,547.3,24.45,83.096667,28.241667,0,1,WECS_NEA_MIP,0.1224,0.0831,0.0433,0.0253,0.0184,0.0269,0.0245,0.0269,0.0367,0.0673,0.2141,0.416,0.4466,0.257,0.1162,0.0514,0.0318,0.0025,0.0433,0.0408,0.65,Micro/Mini Hydro (<1 MW),120.4,31.32,245.6,99.6,146.0,13.94,11.35,13.94,18.9,24.73,23.93,24.73,24.73,23.93,24.73,23.93,16.74,Malika,0,1.0,Micro (5-100 kW),0,1,1
2071,2,1882.4,1778.5,103.9,3.11,3.74,519.3,20.01,83.101389,28.241667,0,1,WECS_NEA_MIP,0.1466,0.0998,0.0521,0.0306,0.0223,0.0323,0.0293,0.0323,0.044,0.0806,0.2566,0.4985,0.5351,0.3079,0.1393,0.0616,0.0381,0.0029,0.0521,0.0492,0.65,Micro/Mini Hydro (<1 MW),93.5,29.33,229.45,93.03,136.43,13.04,10.58,13.04,17.64,23.11,22.36,23.11,23.11,22.36,23.11,22.36,15.61,Malika,0,1.0,Micro (5-100 kW),0,1,1
2072,2,1778.5,1728.9,49.6,3.74,5.79,409.6,12.11,83.105556,28.242222,0,1,WECS_NEA_MIP,0.225,0.1538,0.081,0.048,0.0352,0.0495,0.045,0.0495,0.0675,0.1237,0.3937,0.765,0.8212,0.4725,0.2137,0.0945,0.0585,0.0045,0.081,0.0765,0.65,Micro/Mini Hydro (<1 MW),44.6,21.76,169.42,68.25,101.17,9.52,7.74,9.52,12.9,17.14,16.59,17.14,17.14,16.59,17.14,16.59,11.43,Malika,0,1.0,Micro (5-100 kW),0,1,1
2214,1,2103.9,1940.2,163.7,0.5,1.09,587.5,27.87,83.074722,28.224444,0,1,WECS_NEA_MIP,0.0438,0.0294,0.015,0.0086,0.0062,0.0096,0.0088,0.0096,0.0131,0.0241,0.0766,0.1489,0.1599,0.092,0.0416,0.0184,0.0114,0.0009,0.015,0.0141,0.65,Micro/Mini Hydro (<1 MW),147.3,13.24,105.09,43.22,61.88,6.08,4.99,6.08,8.25,10.48,10.14,10.48,10.48,10.14,10.48,10.14,7.34,Madane,0,1.0,Micro (5-100 kW),0,1,1
2215,1,1940.2,1838.8,101.4,1.09,1.78,604.4,16.77,83.074444,28.219722,0,1,WECS_NEA_MIP,0.0708,0.0478,0.0246,0.0142,0.0103,0.0156,0.0142,0.0156,0.0212,0.039,0.1239,0.2408,0.2585,0.1487,0.0673,0.0297,0.0184,0.0014,0.0246,0.0232,0.65,Micro/Mini Hydro (<1 MW),91.3,13.51,106.53,43.63,62.9,6.15,5.01,6.15,8.3,10.66,10.31,10.66,10.66,10.31,10.66,10.31,7.36,Madane,0,1.0,Micro (5-100 kW),0,1,1
2216,2,1838.8,1745.5,93.3,1.78,2.85,583.2,16.0,83.078056,28.215833,0,1,WECS_NEA_MIP,0.1123,0.0762,0.0396,0.0231,0.0168,0.0247,0.0225,0.0247,0.0337,0.0618,0.1966,0.3819,0.41,0.2359,0.1067,0.0472,0.0292,0.0022,0.0396,0.0374,0.65,Micro/Mini Hydro (<1 MW),84.0,20.03,157.09,63.93,93.16,8.97,7.31,8.97,12.15,15.78,15.27,15.78,15.78,15.27,15.78,15.27,10.76,Madane,0,1.0,Micro (5-100 kW),0,1,1
