District,Year,Annual_Average_Solar_Irradiance_kWh_m2_day
Bhojpur,1984,4.4594
Bhojpur,1985,4.3999
Bhojpur,1986,4.7513
Bhojpur,1987,4.4086
Bhojpur,1988,4.4844
Bhojpur,1989,4.6162
Bhojpur,1990,4.5662
Bhojpur,1991,4.5406
Bhojpur,1992,4.6704
Bhojpur,1993,4.4645
Bhojpur,1994,4.4849
Bhojpur,1995,4.589
Bhojpur,1996,4.6001
Bhojpur,1997,4.3718
Bhojpur,1998,4.5163
Bhojpur,1999,4.5934
Bhojpur,2000,4.2636
Bhojpur,2001,4.4174
Bhojpur,2002,4.2941
Bhojpur,2003,4.2072
Bhojpur,2004,4.1011
Bhojpur,2005,4.3322
Bhojpur,2006,4.3181
Bhojpur,2007,4.2521
Bhojpur,2008,4.2595
Bhojpur,2009,4.4746
Bhojpur,2010,4.4371
Bhojpur,2011,4.2665
Bhojpur,2012,4.5247
Bhojpur,2013,4.379
Bhojpur,2014,4.4083
Bhojpur,2015,4.237
Bhojpur,2016,4.2638
Bhojpur,2017,4.255
Bhojpur,2018,4.1148
Bhojpur,2019,4.1105
Bhojpur,2020,4.0073
Bhojpur,2021,4.0034
Bhojpur,2022,3.9331
Bhojpur,2023,4.0097
Bhojpur,2024,3.9708
Dhankuta,1984,4.6661
Dhankuta,1985,4.9068
Dhankuta,1986,5.028
Dhankuta,1987,4.7052
Dhankuta,1988,4.7335
Dhankuta,1989,4.8665
Dhankuta,1990,4.7758
Dhankuta,1991,4.7136
Dhankuta,1992,4.9068
Dhankuta,1993,4.7316
Dhankuta,1994,4.9613
Dhankuta,1995,4.8833
Dhankuta,1996,4.8379
Dhankuta,1997,4.759
Dhankuta,1998,4.577
Dhankuta,1999,4.673
Dhankuta,2000,4.6644
Dhankuta,2001,4.6992
Dhankuta,2002,4.5521
Dhankuta,2003,4.5218
Dhankuta,2004,4.4254
Dhankuta,2005,4.6099
Dhankuta,2006,4.6118
Dhankuta,2007,4.5031
Dhankuta,2008,4.5307
Dhankuta,2009,4.5938
Dhankuta,2010,4.559
Dhankuta,2011,4.4801
Dhankuta,2012,4.6867
Dhankuta,2013,4.5922
Dhankuta,2014,4.5641
Dhankuta,2015,4.4609
Dhankuta,2016,4.4486
Dhankuta,2017,4.421
Dhankuta,2018,4.3692
Dhankuta,2019,4.4143
Dhankuta,2020,4.1129
Dhankuta,2021,4.1801
Dhankuta,2022,4.2931
Dhankuta,2023,4.4102
Dhankuta,2024,4.2746
Ilam,1984,4.6661
Ilam,1985,4.9068
Ilam,1986,5.028
Ilam,1987,4.7052
Ilam,1988,4.7335
Ilam,1989,4.8665
Ilam,1990,4.7758
Ilam,1991,4.7136
Ilam,1992,4.9068
Ilam,1993,4.7316
Ilam,1994,4.9613
Ilam,1995,4.8833
Ilam,1996,4.8379
Ilam,1997,4.759
Ilam,1998,4.577
Ilam,1999,4.673
Ilam,2000,4.6644
Ilam,2001,4.6992
Ilam,2002,4.5521
Ilam,2003,4.5218
Ilam,2004,4.4254
Ilam,2005,4.6099
Ilam,2006,4.6118
Ilam,2007,4.5031
Ilam,2008,4.5307
Ilam,2009,4.5938
Ilam,2010,4.559
Ilam,2011,4.4801
Ilam,2012,4.6867
Ilam,2013,4.5922
Ilam,2014,4.5641
Ilam,2015,4.4609
Ilam,2016,4.4486
Ilam,2017,4.421
Ilam,2018,4.3692
Ilam,2019,4.4143
Ilam,2020,4.1129
Ilam,2021,4.1801
Ilam,2022,4.2931
Ilam,2023,4.4102
Ilam,2024,4.2746
Jhapa,1984,4.6661
Jhapa,1985,4.9068
Jhapa,1986,5.028
Jhapa,1987,4.7052
Jhapa,1988,4.7335
Jhapa,1989,4.8665
Jhapa,1990,4.7758
Jhapa,1991,4.7136
Jhapa,1992,4.9068
Jhapa,1993,4.7316
Jhapa,1994,4.9613
Jhapa,1995,4.8833
Jhapa,1996,4.8379
Jhapa,1997,4.759
Jhapa,1998,4.577
Jhapa,1999,4.673
Jhapa,2000,4.6644
Jhapa,2001,4.6992
Jhapa,2002,4.5521
Jhapa,2003,4.5218
Jhapa,2004,4.4254
Jhapa,2005,4.6099
Jhapa,2006,4.6118
Jhapa,2007,4.5031
Jhapa,2008,4.5307
Jhapa,2009,4.5938
Jhapa,2010,4.559
Jhapa,2011,4.4801
Jhapa,2012,4.6867
Jhapa,2013,4.5922
Jhapa,2014,4.5641
Jhapa,2015,4.4609
Jhapa,2016,4.4486
Jhapa,2017,4.421
Jhapa,2018,4.3692
Jhapa,2019,4.4143
Jhapa,2020,4.1129
Jhapa,2021,4.1801
Jhapa,2022,4.2931
Jhapa,2023,4.4102
Jhapa,2024,4.2746
Khotang,1984,4.7962
Khotang,1985,4.7261
Khotang,1986,4.9294
Khotang,1987,4.7609
Khotang,1988,4.8014
Khotang,1989,4.9649
Khotang,1990,4.836
Khotang,1991,4.993
Khotang,1992,5.0743
Khotang,1993,4.8852
Khotang,1994,5.0182
Khotang,1995,4.9591
Khotang,1996,5.0138
Khotang,1997,4.8686
Khotang,1998,4.7462
Khotang,1999,4.6166
Khotang,2000,4.6361
Khotang,2001,4.6603
Khotang,2002,4.4518
Khotang,2003,4.4491
Khotang,2004,4.3824
Khotang,2005,4.583
Khotang,2006,4.5377
Khotang,2007,4.4412
Khotang,2008,4.5451
Khotang,2009,4.7923
Khotang,2010,4.7534
Khotang,2011,4.5094
Khotang,2012,4.8547
Khotang,2013,4.6054
Khotang,2014,4.7023
Khotang,2015,4.4738
Khotang,2016,4.5
Khotang,2017,4.4959
Khotang,2018,4.3843
Khotang,2019,4.3855
Khotang,2020,4.2144
Khotang,2021,4.2511
Khotang,2022,4.2103
Khotang,2023,4.2982
Khotang,2024,4.2494
Morang,1984,4.6661
Morang,1985,4.9068
Morang,1986,5.028
Morang,1987,4.7052
Morang,1988,4.7335
Morang,1989,4.8665
Morang,1990,4.7758
Morang,1991,4.7136
Morang,1992,4.9068
Morang,1993,4.7316
Morang,1994,4.9613
Morang,1995,4.8833
Morang,1996,4.8379
Morang,1997,4.759
Morang,1998,4.577
Morang,1999,4.673
Morang,2000,4.6644
Morang,2001,4.6992
Morang,2002,4.5521
Morang,2003,4.5218
Morang,2004,4.4254
Morang,2005,4.6099
Morang,2006,4.6118
Morang,2007,4.5031
Morang,2008,4.5307
Morang,2009,4.5938
Morang,2010,4.559
Morang,2011,4.4801
Morang,2012,4.6867
Morang,2013,4.5922
Morang,2014,4.5641
Morang,2015,4.4609
Morang,2016,4.4486
Morang,2017,4.421
Morang,2018,4.3692
Morang,2019,4.4143
Morang,2020,4.1129
Morang,2021,4.1801
Morang,2022,4.2931
Morang,2023,4.4102
Morang,2024,4.2746
Okhaldhunga,1984,4.7962
Okhaldhunga,1985,4.7261
Okhaldhunga,1986,4.9294
Okhaldhunga,1987,4.7609
Okhaldhunga,1988,4.8014
Okhaldhunga,1989,4.9649
Okhaldhunga,1990,4.836
Okhaldhunga,1991,4.993
Okhaldhunga,1992,5.0743
Okhaldhunga,1993,4.8852
Okhaldhunga,1994,5.0182
Okhaldhunga,1995,4.9591
Okhaldhunga,1996,5.0138
Okhaldhunga,1997,4.8686
Okhaldhunga,1998,4.7462
Okhaldhunga,1999,4.6166
Okhaldhunga,2000,4.6361
Okhaldhunga,2001,4.6603
Okhaldhunga,2002,4.4518
Okhaldhunga,2003,4.4491
Okhaldhunga,2004,4.3824
Okhaldhunga,2005,4.583
