S/N,Name_of_station,Province,Location,Capacity_MW,Commissioned,Owner
1.0,Upper Tamakoshi Project,Bagmati,Dolakha District,456.0,2021,NEA
2.0,Kaligandaki A Hydroelectric Power Station,Gandaki,Syangja,144.0,2002,NEA
3.0,Rasuwagadi Hydropower Project,Bagmati,Rasuwa District,111.0,2024,Chilime Hydropower Company Limited (CHPCL) and NEA
4.0,Solukhola Dudhkoshi Hydropower Project,Koshi,Solukhumbu,86.0,2023 AD,Sahas Urja Ltd
5.0,Likhu -1,Bagmati,Gumdel (Ramechhap District),77.0,2024,Pan Himay Energy Ltd
6.0,Middle Tamor,Koshi,"Hangdeva, Khokling, Phurumbu, Sawadin (Taplejung)",73.0,2024,Sanima Middle Tamor Hydropower Ltd
7.0,Nilgiri Khola-II Cascade Project,Gandaki,Narchyang (Myagdi),71.0,2024,Nilgirikhola Hydropower Company Limited
8.0,Middle Marsyangdi Hydropower Station,Gandaki,Lamjung District,70.0,2008,NEA
9.0,Marsyangdi Hydropower Station,Gandaki,Tanahun,69.0,1989,NEA
10.0,Kulekhani I,Bagmati,Makwanpur,60.0,1982,NEA
11.0,Khimti I Hydropower Plant,Bagmati,Dolkha,60.0,2000,Himal Power Ltd.
12.0,Upper Trishuli 3A Hydropower Station,Bagmati,Rasuwa District,60.0,2019,NEA
13.0,Likhu -2,Koshi,Gumdel (Ramechhap) Chaulakharka (Waula) (Solukhumbu),55.0,2023,Global Hydropower Associate Ltd
14.0,Super Dordi Kha Hydropower Project,Bagmati,"Dhodeni, Faleni (Lamjung)",54.0,2023,Peoples Hydropower Company Pvt. Ltd.
15.0,Likhu-4,Bagmati,"Ragani, Pokli (Okhaldhunga) Saibu, Bijulikot, Naga Daha, Tilpung (Ramechhap)",52.4,2021,Green Ventures Ltd
16.0,Likhu Khola 'A',Koshi,"Chaulakharka(Waula), Goli (Solukhumbu)",51.0,2022,Numbur Himalaya Hydropower Ltd
17.0,Upper Marsyangdi A Hydroelectric Station,Gandaki,Lamjung Marsyangdi Rural Municipality,50.0,2016,"SSPC, Power China"
18.0,Bhote Koshi Power Plant (Upper Bhote Koshi),Bagmati,Sindhupalchowk,45.0,2001,Bhote Koshi Power Company Private Limited (BKPC)
19.0,Super Madi,Gandaki,"Namarjung, Parche, Saimrang, Kalika (Kaski)",44.0,2023,Himal Hydro and General Construction Ltd.
20.0,Sanjen,Bagmati,Chilime (Rasuwa),42.5,2024,Sanjen Jalvidyut Co.
21.0,Mristi Khola,Gandaki,"Dana, Narchyang (Myagdi)",42.0,2021,Mountain Energy Nepal Limited
22.0,Upper Chameliya HP,Sudurpashchim,"Tapoban, Latinath, Guljar, Sitaula (Darchula)",40.0,2023,Api Power Co. Ltd
23.0,Upper Kalangad,Karnali,"Dahabagar, Khiratadi (Bajhang)",38.46,2023,Sani Gad Hydro pvt. Ltd
24.0,Nilgiri Khola,Gandaki,Narchyang (Myagdi),38.0,2024,Nilgiri Khola Hydropower Company Pvt. Ltd.
25.0,Upper Balephi A,Bagmati,"Golche, Pangtang, Dhumthang (Sindhupalchok)",36.0,2022,Balephi Hydropower Ltd.
26.0,Kulekhani II,Bagmati,Makwanpur,32.0,1986,NEA
27.0,Chameliya Khola Hydropower Station,Sudurpashchim,Darchula,30.0,2018,NEA
28.0,Nyadi Khola,Gandaki,"Bahundada, Bhulbhule (Lamjung)",30.0,2022,Nyadi Hydropower Limited
29.0,Lower Likhu,Bagmati,"Tarkerabari, Yasam, Gamanamatar (Okhaldhunga) Bijulikot, Gothgau (Ramechhap)",28.1,2022,Swaita Ganga Hydropower and Construction Pvt. Ltd.
30.0,Dordi Khola,Gandaki,"Archalbot, Chiti, Dhodeni, Nauthar, Shree Banjyang, Udipur (Lamjung)",27.0,2022,Himalaya Power Partner Pvt. Ltd
31.0,Upper Madi Hydropower Station,Gandaki,Kaski District,25.0,2017,Madi Power Pvt Ltd.
32.0,Kabeli B1 Hydropower Station,Koshi,Panchthar District,25.0,2019,Arun Kabeli Power Limited
33.0,Upper Dordi A HEP,Gandaki,"Dhodeni, Faleni (Lamjung)",25.0,2022,Liberty Energy Hydropower Pvt. Ltd.
34.0,Singati Khola Hydropower Project,Bagmati,"Babare, Laduk, Lamidada (Dolakha)",25.0,2021,Singati Hydro Energy Pvt. Ltd.
35.0,Seti Khola HPP,Gandaki,"Ghachok, Machhapuchchhre, Purachaur, Sardikhola (Kaski)",25.0,2024,Vision Lumbini Urja Company Limited
36.0,Trishuli Hydropower Station,Bagmati,Nuwakot,24.0,1967,"NEA (Initially installed capacity was 21 MW, rehabilitated in 1995)"
37.0,Solu Hydropower Station,Koshi,Solukhumbu District,23.5,2020,Upper Solu Hydroelectric Company Pvt Ltd
38.0,Upper Chaku A,Bagmati,"Marbin, Fulpingkatti (Sindhupalchok)",22.2,2021,Shiva Sri Hydropower Pvt. Ltd
39.0,Lower Hewa Khola Hydropower Project,Koshi,Panchthar District,22.1,2013,Mountain Hydro Nepal Limited
40.0,Mai Hydropower Station,Koshi,Illam,22.0,2014,Sanima Hydropower
41.0,Chilime Hydropower Plant,Bagmati,Rasuwa,22.0,2003,Chilime Hydropower Company Ltd.
42.0,Bagmati Nadi Hydropower Station,Bagmati,Makawanpur District,22.0,2019,Mandu Hydropower Pvt. Ltd.
43.0,Lower Hewa Hydropower Station,Koshi,Panchthar District,21.6,2019,Mountain Hydro Nepal (P.) Ltd
44.0,Lower Modi Khola,Gandaki,"Durlung, Deurali, Ramja, Tilahar (Parbat)",20.0,2021,Modi Energy Pvt. Ltd
45.0,Upper Solu Khola HPP,Koshi,"Beni, Salleri (Solukhumbu)",19.8,2023,Beni Hydropower Project
46.0,Middle Modi,Gandaki,"Deupurkot, Tilahar (Parbat)",18.0,2022,Middle Modi Hydropower Limited
47.0,Kalanga,Karnali,"Sunkuda, Khiratadi, Banjh (Bajhang)",15.33,2023,Kalanga Hydropower P Ltd
48.0,Gandak Hydropower Station,Lumbini,Nawalparasi,15.0,1979,NEA
49.0,Hewa Khola A Hydropower Station,Koshi,Panchthar District,14.9,2017,Panchthar Power Company Pvt. Ltd.
50.0,Maya Khola Hydropower Project,Bagmati,"Mamling, Madi Rambeni, Baneswor (Sankhuwasabha)",14.9,2023,Maya Khola Hydropower Company Ltd
