lon,lat,nitrogen,phosphorus,potassium,ph,soil_type,timestamp,id,name,nepaliName,province,ecoZone,avgRainfallMm,solarRadiationKwh,baseSoilPh,laborRateNprPerDay,description
82.1233,29.2742,0.21,39.1,444.81,5.35,"Fluvial, calcareous",2025-07-23 02:12:07.131870,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2283,29.2542,0.21,70.06,509.09,5.97,"Gneiss, migmatite",2025-07-23 02:12:24.950848,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1333,29.2592,0.19,41.1,500.21,5.55,"Fluvial, calcareous",2025-07-23 02:12:25.871729,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2333,29.2592,0.21,40.42,430.71,6.08,"Gneiss, migmatite",2025-07-23 02:12:26.873266,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1283,29.2642,0.19,41.42,441.64,5.53,"Fluvial, calcareous",2025-07-23 02:12:27.837308,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1233,29.2692,0.21,41.35,421.38,5.3,"Fluvial, calcareous",2025-07-23 02:12:29.694546,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2433,29.2692,0.19,63.02,433.28,6.28,"Gneiss, migmatite",2025-07-23 02:12:30.658685,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1733,29.3292,0.2,93.38,400.85,6.24,"Gneiss, migmatite",2025-07-23 02:12:34.295373,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1683,29.3242,0.21,48.02,398.19,5.63,"Gneiss, migmatite",2025-07-23 02:12:35.987001,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1633,29.3192,0.19,58.1,378.84,5.86,"Gneiss, migmatite",2025-07-23 02:12:37.679444,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2083,29.3142,0.19,66.44,403.19,5.98,"Gneiss, migmatite",2025-07-23 02:12:40.213106,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2183,29.3042,0.18,58.63,433.46,5.92,"Gneiss, migmatite",2025-07-23 02:12:43.480921,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2233,29.2992,0.2,68.54,428.75,6.02,"Gneiss, migmatite",2025-07-23 02:12:45.271297,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1383,29.2942,0.19,35.65,455.54,5.29,"Gneiss, migmatite",2025-07-23 02:12:46.138655,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1333,29.2892,0.18,39.68,463.63,5.26,"Gneiss, migmatite",2025-07-23 02:12:47.828192,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1283,29.2842,0.2,70.49,446.37,5.43,"Gneiss, migmatite",2025-07-23 02:12:49.545393,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1233,29.2792,0.2,36.75,456.69,5.32,"Gneiss, migmatite",2025-07-23 02:12:51.238632,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
